,"Hospitais, Total , 2019 (N.º)","Hospitais, Públicos e Parcerias público-privadas, 2019 (N.º)","Hospitais, Privados, 2019 (N.º)","Camas, Total, 2019 Po (N.º)","Camas, Hospitais gerais, 2019 Po (N.º)","Camas, Hospitais especializados, 2019 Po (N.º)","Salas de operação, Hospitais especializados, 2019 Po (N.º)","Movimento de internados, Internamentos, 2019 Po (N.º)","Movimento de internados, Dias de internamento, 2019 Po (N.º)"
Portugal,238,111,127,36064,27873,8191,908,1136913,10294934
Continente,220,105,115,32712,26320,6392,868,1079479,9271172
Norte,80,33,47,11941,9590,2351,329,399409,3245126
Alto Minho,3,2,1,…,…,…,…,…,…
Arcos de Valdevez,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0
Ponte de Lima,1,1,0,0,0,0,0,0,0
Valença,0,0,0,0,0,0,0,0,0
Viana do Castelo,2,1,1,…,…,…,…,…,…
Vila Nova de Cerveira,0,0,0,0,0,0,0,0,0
Cávado,14,2,12,2043,1084,959,35,44661,613512
Amares,1,0,1,…,…,…,…,…,…
Barcelos,4,1,3,701,127,574,4,7159,236380
Braga,6,1,5,1204,819,385,24,35360,368383
Esposende,2,0,2,…,…,…,…,…,…
Terras de Bouro,0,0,0,0,0,0,0,0,0
Vila Verde,1,0,1,…,…,…,…,…,…
Ave,5,2,3,718,718,0,20,29349,181735
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0,0
Guimarães,2,1,1,…,…,…,…,…,…
Mondim de Basto,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,1,0,1,…,…,…,…,…,…
Vieira do Minho,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,2,1,1,…,…,…,…,…,…
Vizela,0,0,0,0,0,0,0,0,0
A. M. Porto,45,19,26,7070,5678,1392,219,242156,1820319
Arouca,1,0,1,…,…,…,…,…,…
Espinho,2,1,1,…,…,…,…,…,…
Gondomar,0,0,0,0,0,0,0,0,0
Maia,0,0,0,0,0,0,0,0,0
Matosinhos,3,2,1,…,…,…,…,…,…
Oliveira de Azeméis,1,1,0,0,0,0,0,0,0
Paredes,1,0,1,…,…,…,…,…,…
Porto,20,7,13,3926,2678,1248,125,138331,1134559
Póvoa de Varzim,3,1,2,…,…,…,…,…,…
Santa Maria da Feira,1,1,0,366,366,0,12,17584,123419
Santo Tirso,1,1,0,247,247,0,7,9598,78607
São João da Madeira,1,1,0,0,0,0,0,0,0
Trofa,1,0,1,…,…,…,…,…,…
Vale de Cambra,0,0,0,0,0,0,0,0,0
Valongo,3,1,2,…,…,…,…,…,…
Vila do Conde,1,1,0,0,0,0,0,0,0
Vila Nova de Gaia,6,2,4,907,785,122,31,38373,236004
Alto Tâmega,1,1,0,0,0,0,0,0,0
Boticas,0,0,0,0,0,0,0,0,0
Chaves,1,1,0,0,0,0,0,0,0
Montalegre,0,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,4,2,2,…,…,…,…,…,…
Amarante,1,1,0,0,0,0,0,0,0
Baião,0,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0,0
Felgueiras,1,0,1,…,…,…,…,…,…
Lousada,0,0,0,0,0,0,0,0,0
Marco de Canaveses,1,0,1,…,…,…,…,…,…
Paços de Ferreira,0,0,0,0,0,0,0,0,0
Penafiel,1,1,0,481,481,0,13,21047,169651
Resende,0,0,0,0,0,0,0,0,0
Douro,4,2,2,…,…,…,…,…,…
Alijó,0,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0
Lamego,1,1,0,0,0,0,0,0,0
Mesão Frio,0,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,0,0,0,0,0,0
Sabrosa,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0
Vila Real,3,1,2,…,…,…,…,…,…
Terras de Trás-os-Montes,4,3,1,…,…,…,…,…,…
Alfândega da Fé,0,0,0,0,0,0,0,0,0
Bragança,1,1,0,415,415,0,8,10965,106741
Macedo de Cavaleiros,1,1,0,0,0,0,0,0,0
Miranda do Douro,0,0,0,0,0,0,0,0,0
Mirandela,2,1,1,…,…,…,…,…,…
Mogadouro,0,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0,0
Centro,60,34,26,7039,6054,985,198,227324,1982351
Oeste,9,4,5,472,428,44,17,15740,114285
Alcobaça,1,1,0,0,0,0,0,0,0
Alenquer,0,0,0,0,0,0,0,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,0,0,0,0,0
Cadaval,0,0,0,0,0,0,0,0,0
Caldas da Rainha,3,1,2,…,…,…,…,…,…
Lourinhã,0,0,0,0,0,0,0,0,0
Nazaré,1,0,1,…,…,…,…,…,…
Óbidos,0,0,0,0,0,0,0,0,0
Peniche,1,1,0,0,0,0,0,0,0
Sobral de Monte Agraço,0,0,0,0,0,0,0,0,0
Torres Vedras,3,1,2,…,…,…,…,…,…
Região de Aveiro,7,4,3,546,546,0,16,21861,157260
Águeda,1,1,0,0,0,0,0,0,0
Albergaria-a-Velha,0,0,0,0,0,0,0,0,0
Anadia,1,0,1,…,…,…,…,…,…
Aveiro,2,1,1,…,…,…,…,…,…
Estarreja,1,1,0,0,0,0,0,0,0
Ílhavo,0,0,0,0,0,0,0,0,0
Murtosa,0,0,0,0,0,0,0,0,0
Oliveira do Bairro,1,0,1,…,…,…,…,…,…
Ovar,1,1,0,48,48,0,2,683,6812
Sever do Vouga,0,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,0,0,0,0,0
Região de Coimbra,21,13,8,3041,2290,751,90,93298,841084
Arganil,0,0,0,0,0,0,0,0,0
Cantanhede,2,2,0,103,18,85,1,500,26941
Coimbra,15,10,5,…,…,…,…,…,…
Condeixa-a-Nova,1,0,1,…,…,…,…,…,…
Figueira da Foz,1,1,0,154,154,0,4,5918,42127
Góis,0,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,0,0,0
Mealhada,1,0,1,…,…,…,…,…,…
Mira,0,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0,0
