,"Pessoal ao serviço, Total, 2020 Po (N.º)","Pessoal ao serviço, Médicos, 2020 Po (N.º)","Pessoal ao serviço, Enfermeiros , 2020 Po (N.º)","Pessoal ao serviço, Pessoal auxiliar, 2020 Po (N.º)","Pessoal ao serviço, Técnicos de diagnóstico e terapêutica, 2020 Po (N.º)","Pessoal ao serviço, Outros, 2020 Po (N.º)","Atendimentos em serviço de urgência, Total de hospitais, 2020 Po (N.º)","Atendimentos em serviço de urgência, Hospitais públicos de acesso universal e hospitais em parceria público-privada, 2020 Po (N.º)"
Portugal,150230,26249,48255,37445,10508,27773,5738139,4756984
Continente,141451,25285,45663,34717,9981,25805,5522552,4552704
Norte,49415,9683,15997,11759,3096,8880,2053086,1632269
Alto Minho,...,...,...,...,...,...,...,110116
Arcos de Valdevez,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,0,0,0,0,0,0,0,0
Valença,0,0,0,0,0,0,0,0
Viana do Castelo,...,...,...,...,...,...,...,110116
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,5553,1037,1601,1354,309,1252,273608,207584
Amares,...,...,...,...,...,...,...,0
Barcelos,971,182,308,257,34,190,45592,45592
Braga,3994,807,1209,943,224,811,199653,161992
Esposende,...,...,...,...,...,...,...,0
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,...,...,...,...,...,...,...,0
Ave,2878,543,973,644,195,523,164686,99653
Cabeceiras de Basto,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0
Guimarães,...,...,...,...,...,...,...,99653
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,...,...,...,...,...,...,...,0
Vieira do Minho,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,...,...,...,...,...,...,...,0
Vizela,0,0,0,0,0,0,0,0
A. M. Porto,30846,6092,9992,7282,1894,5586,1103924,842052
Arouca,...,...,...,...,...,...,...,0
Espinho,...,...,...,...,...,...,...,0
Gondomar,0,0,0,0,0,0,0,0
Maia,0,0,0,0,0,0,0,0
Matosinhos,...,...,...,...,...,...,...,76867
Oliveira de Azeméis,0,0,0,0,0,0,0,0
Paredes,...,...,...,...,...,...,...,0
Porto,18021,3681,6017,4174,1141,3008,391797,328567
Póvoa de Varzim,...,...,...,...,...,...,...,53343
Santa Maria da Feira,2315,405,764,737,143,266,148553,148553
Santo Tirso,1182,222,438,296,84,142,96146,96146
São João da Madeira,0,0,0,0,0,0,0,0
Trofa,...,...,...,...,...,...,...,0
Vale de Cambra,0,0,0,0,0,0,0,0
Valongo,...,...,...,...,...,...,...,0
Vila do Conde,0,0,0,0,0,0,0,0
Vila Nova de Gaia,4741,913,1476,1157,252,943,223281,138576
Alto Tâmega,0,0,0,0,0,0,0,0
Boticas,0,0,0,0,0,0,0,0
Chaves,0,0,0,0,0,0,0,0
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0
Tâmega e Sousa,...,...,...,...,...,...,...,163041
Amarante,0,0,0,0,0,0,0,0
Baião,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0
Felgueiras,...,...,...,...,...,...,...,0
Lousada,0,0,0,0,0,0,0,0
Marco de Canaveses,...,...,...,...,...,...,...,0
Paços de Ferreira,0,0,0,0,0,0,0,0
Penafiel,2346,460,788,636,154,308,163041,163041
Resende,0,0,0,0,0,0,0,0
Douro,...,...,...,...,...,...,...,130788
Alijó,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,0,0,0,0,0,0,0,0
Mesão Frio,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,0,0,0,0,0
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,...,...,...,...,...,...,...,130788
Terras de Trás-os-Montes,...,...,...,...,...,...,...,79035
Alfândega da Fé,0,0,0,0,0,0,0,0
Bragança,1399,175,514,378,115,217,79035,79035
Macedo de Cavaleiros,0,0,0,0,0,0,0,0
Miranda do Douro,0,0,0,0,0,0,0,0
Mirandela,...,...,...,...,...,...,...,0
Mogadouro,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Centro,29314,5093,10213,7182,2066,4760,1132624,1023978
Oeste,2310,290,743,621,190,466,147529,116665
Alcobaça,0,0,0,0,0,0,0,0
Alenquer,0,0,0,0,0,0,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,0,0,0,0
Cadaval,0,0,0,0,0,0,0,0
Caldas da Rainha,...,...,...,...,...,...,...,116665
Lourinhã,0,0,0,0,0,0,0,0
Nazaré,...,...,...,...,...,...,...,0
Óbidos,0,0,0,0,0,0,0,0
Peniche,0,0,0,0,0,0,0,0
Sobral de Monte Agraço,0,0,0,0,0,0,0,0
Torres Vedras,...,...,...,...,...,...,...,0
Região de Aveiro,2833,773,898,553,184,425,157845,122043
Águeda,0,0,0,0,0,0,0,0
Albergaria-a-Velha,0,0,0,0,0,0,0,0
Anadia,...,...,...,...,...,...,...,0
Aveiro,...,...,...,...,...,...,...,122043
Estarreja,0,0,0,0,0,0,0,0
Ílhavo,0,0,0,0,0,0,0,0
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,...,...,...,...,...,...,...,0
Ovar,200,23,68,47,19,43,0,0
Sever do Vouga,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,0,0,0,0
Região de Coimbra,12275,2233,4270,3010,804,1958,286533,263462
Arganil,0,0,0,0,0,0,0,0
Cantanhede,382,28,122,125,42,65,0,0
Coimbra,...,...,...,...,...,...,...,211197
Condeixa-a-Nova,...,...,...,...,...,...,...,0
Figueira da Foz,708,146,250,161,61,90,52265,52265
Góis,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,0,0
Mealhada,...,...,...,...,...,...,...,0
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,0,0,0,0
Mortágua,0,0,0,0,0,0,0,0
Oliveira do Hospital,...,...,...,...,...,...,...,0
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0
Soure,0,0,0,0,0,0,0,0
Tábua,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0
Região de Leiria,2586,454,941,587,182,422,138270,132624
Alvaiázere,...,...,...,...,...,...,...,0
Ansião,...,...,...,...,...,...,...,0
Batalha,0,0,0,0,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0
Leiria,...,...,...,...,...,...,...,132624
Marinha Grande,...,...,...,...,...,...,...,0
Pedrógão Grande,0,0,0,0,0,0,0,0
Pombal,0,0,0,0,0,0,0,0
Porto de Mós,0,0,0,0,0,0,0,0
Viseu Dão Lafões,...,...,...,...,...,...,...,120719
Aguiar da Beira,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0
Castro Daire,0,0,0,0,0,0,0,0
Mangualde,0,0,0,0,0,0,0,0
Nelas,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,0,0,0,0
Sátão,0,0,0,0,0,0,0,0
Tondela,0,0,0,0,0,0,0,0
Vila Nova de Paiva,0,0,0,0,0,0,0,0
Viseu,...,...,...,...,...,...,...,120719
Vouzela,0,0,0,0,0,0,0,0
Beira Baixa,1083,143,416,275,87,162,47229,47229
Castelo Branco,1083,143,416,275,87,162,47229,47229
Idanha-a-Nova,0,0,0,0,0,0,0,0
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,...,...,...,...,...,...,...,101975
Abrantes,0,0,0,0,0,0,0,0
Alcanena,...,...,...,...,...,...,...,0
Constância,41,6,5,0,6,24,1283,0
Entroncamento,...,...,...,...,...,...,...,0
