,Museus em atividade (N.º),"Museus que cumprem os critérios de seleção, Número (N.º)","Museus que cumprem os critérios de seleção, Visitantes, Total (N.º)","Museus que cumprem os critérios de seleção, Visitantes, Visitantes escolares (N.º)","Museus que cumprem os critérios de seleção, Visitantes, Visitantes estrangeiros (N.º)","Museus que cumprem os critérios de seleção, Bens, Visitantes estrangeiros (N.º)","Galerias de arte e outros espaços de exposições temporárias, Número, Visitantes estrangeiros (N.º)","Galerias de arte e outros espaços de exposições temporárias, Exposições temporárias, Visitantes estrangeiros (N.º)","Galerias de arte e outros espaços de exposições temporárias, Obras expostas, Visitantes estrangeiros (N.º)","Galerias de arte e outros espaços de exposições temporárias, Autores/as representados/as, Visitantes estrangeiros (N.º)"
Portugal,642,419,7496851,404854,2891412,20807956,901,4581,186931,40778
Continente,581,384,7112067,379067,2695886,20404729,843,4241,178086,38993
Norte,161,110,2548822,99304,964973,2946512,253,1447,59447,11159
Alto Minho,18,11,136845,6363,35948,84249,26,109,4531,758
Arcos de Valdevez,1,1,13562,136,2517,…,1,5,222,217
Caminha,1,1,6651,3500,1000,35830,2,17,520,84
Melgaço,4,1,3578,…,1159,13007,2,7,544,73
Monção,2,2,…,…,…,…,2,12,462,71
Paredes de Coura,1,0,0,0,0,0,1,1,90,20
Ponte da Barca,1,0,0,0,0,0,0,0,0,0
Ponte de Lima,1,1,3421,217,…,4255,6,20,1110,89
Valença,3,1,7546,0,4451,317,1,1,61,1
Viana do Castelo,3,3,85012,2137,22131,30367,6,31,1326,156
Vila Nova de Cerveira,1,1,…,214,854,204,5,15,196,47
Cávado,16,11,180740,9649,75490,189923,19,81,2928,452
Amares,0,0,0,0,0,0,1,2,47,2
Barcelos,4,3,32784,1208,7195,21454,3,17,844,118
Braga,8,5,138606,8343,66567,156602,11,51,1221,291
Esposende,3,2,…,…,…,…,2,3,582,5
Terras de Bouro,1,1,…,…,…,…,1,2,42,2
Vila Verde,0,0,0,0,0,0,1,6,192,34
Ave,19,12,236339,17617,92175,293261,22,77,3092,352
Cabeceiras de Basto,1,0,0,0,0,0,1,2,38,38
Fafe,3,0,0,0,0,0,1,1,69,12
Guimarães,6,5,219228,12353,91140,91649,7,41,1691,146
Mondim de Basto,0,0,0,0,0,0,1,2,36,2
Póvoa de Lanhoso,1,1,6122,75,793,3892,2,4,200,43
Vieira do Minho,1,0,0,0,0,0,2,9,199,44
Vila Nova de Famalicão,7,6,10989,5189,242,197720,8,18,859,67
Vizela,0,0,0,0,0,0,0,0,0,0
A. M. Porto,47,36,1694777,46919,689083,1414153,123,901,37295,7630
Arouca,2,1,22451,734,1945,3,2,16,405,84
Espinho,1,1,3733,511,201,425,2,34,710,177
Gondomar,2,2,…,…,…,…,7,29,1120,168
Maia,1,1,8770,3800,17,218,4,28,1545,627
Matosinhos,3,2,…,…,…,…,8,22,1646,673
Oliveira de Azeméis,3,1,…,…,…,…,4,62,1336,526
Paredes,0,0,0,0,0,0,3,50,750,68
Porto,20,16,1581505,28356,684140,1104680,48,285,17468,2105
Póvoa de Varzim,1,1,11449,1500,486,51882,4,23,579,49
Santa Maria da Feira,3,3,19699,7780,396,26388,4,11,467,299
Santo Tirso,1,0,0,0,0,0,5,49,507,113
São João da Madeira,2,2,9885,1651,184,62104,6,34,1910,468
Trofa,0,0,0,0,0,0,0,0,0,0
Vale de Cambra,1,1,356,0,0,1257,2,20,317,62
Valongo,1,1,1089,402,12,15359,8,177,4060,1883
Vila do Conde,1,0,0,0,0,0,10,50,4016,263
Vila Nova de Gaia,5,4,13986,1011,1598,75177,6,11,459,65
