,"Proporção de casamentos entre portugueses/as e estrangeiros/as, %, 2022","População estrangeira a quem foi concedido título de residência por 100 habitantes, N.º, 2022","Idade mediana da população residente, N.º, 2022","Índice de envelhecimento, N.º, 2022","Índice de renovação da população em idade ativa, N.º, 2022","Índice de dependência de idosas/os, N.º, 2022","Índice de longevidade, N.º, 2022","Relação de masculinidade, N.º, 2022","Relação de masculinidade dos estrangeiros a quem foi concedido título de residência , N.º, 2022","Idade média das mulheres ao nascimento do primeiro filho, anos, 2022","Idade média da mulher ao primeiro casamento, anos, 2022","Idade média do homem ao primeiro casamento, anos, 2022","Esperança de vida à nascença
┴, anos, 2020-2022","Esperança de vida aos 65 anos
┴, anos, 2020-2022"
Portugal,14.1,1.37,47,185.6,75.2,38,48.7,91.5,123.8,30.3,33.7,35.1,80.96,19.61
Continente,14.4,1.41,47.1,188,75.1,38.5,48.9,91.5,124.4,30.4,33.8,35.1,81.07,19.67
Norte,11,0.73,47.4,191.6,73.4,36.3,46.4,92,114.3,30.8,32.8,34,81.53,19.88
Alto Minho,11.3,0.88,50.3,259.2,66.5,47.8,50.8,90,123.1,30.6,33.2,34.7,81.14,20
Arcos de Valdevez,9.6,0.36,55.4,398.1,62,67,53.8,86.8,89.7,x,x,x,x,x
Caminha,9.4,0.88,51.4,274.3,61.5,50.7,51,88.7,104.3,x,x,x,x,x
Melgaço,0,0.59,61.6,586.1,43.8,87.9,54.9,83.6,80,x,x,x,x,x
Monção,23.7,1.05,54.7,354.1,53.4,62.2,51.4,86.4,98.9,x,x,x,x,x
Paredes de Coura,17.6,0.45,51.7,295.9,59.7,53.2,52.6,93.4,77.3,x,x,x,x,x
Ponte da Barca,5.3,0.31,51.4,290.4,69.4,51.1,53,89,112.5,x,x,x,x,x
Ponte de Lima,4.3,0.37,48.2,215.7,75.8,39.4,51.7,90.9,141.9,x,x,x,x,x
Valença,16.1,1.78,48.2,216.7,73,43.2,49.2,90.6,137.5,x,x,x,x,x
Viana do Castelo,12.7,1.11,48.8,219.5,67.3,42,48.3,90.8,126.8,x,x,x,x,x
Vila Nova de Cerveira,14.6,1.82,48.2,236.7,78.7,43.5,50.2,97.3,170.5,x,x,x,x,x
Cávado,11.4,1.02,45.4,155.6,81.7,30.8,45,93.3,115.2,31.1,32,33.4,82.26,20.64
Amares,12.7,0.64,46,175.7,84.6,34.2,47.3,95.7,120,x,x,x,x,x
Barcelos,7.6,0.47,46.3,168.6,81.3,31.2,44.4,93.9,136.2,x,x,x,x,x
Braga,15,1.6,44.4,140.6,82.1,28.7,43.5,92.7,111.4,x,x,x,x,x
Esposende,5.8,0.71,45.3,152.4,78.7,31.6,45.1,93.5,149.5,x,x,x,x,x
Terras de Bouro,18.2,0.3,52.3,300.6,62.4,49.2,51.1,93.5,58.3,x,x,x,x,x
Vila Verde,7.8,0.45,45.7,170.8,85,34.4,50.1,93.1,94.5,x,x,x,x,x
Ave,7.2,0.39,46.9,177.7,74.2,33.2,43.6,94.1,128.3,30.9,32.7,33.9,81.69,20.06
Cabeceiras de Basto,3.5,0.11,47.6,203.2,75.2,37.1,49.1,95.8,142.9,x,x,x,x,x
Fafe,9.3,0.26,48,206.8,71.9,37.6,44.9,92.2,140.4,x,x,x,x,x
Guimarães,9.2,0.45,46.8,171.4,73,32,42.2,94.4,114.2,x,x,x,x,x
Mondim de Basto,3.4,0.11,52.3,303.2,63.7,48.6,50.2,94.3,40,x,x,x,x,x
Póvoa de Lanhoso,4.3,0.41,47.6,192.6,71.5,35.9,45.4,94.6,122,x,x,x,x,x
Vieira do Minho,1.9,0.28,53.2,321.8,62.1,51.1,50.9,92.6,126.7,x,x,x,x,x
Vila Nova de Famalicão,6.1,0.46,46.1,162.7,77.3,31.2,42.9,94.2,144.8,x,x,x,x,x
Vizela,7.7,0.29,44.9,142.4,80.3,26.9,39.2,95.4,144.8,x,x,x,x,x
A. M. Porto,12.9,0.86,46.8,180.4,74.5,35,45.7,90.9,110,31,33.4,34.5,81.45,19.92
Arouca,3.3,0.13,48.3,201,70.1,39.6,47.4,93.1,115.4,x,x,x,x,x
Espinho,9.5,0.5,51.1,264.6,65.8,47.6,48.6,88.6,96.3,x,x,x,x,x
Gondomar,2.5,0.4,47.1,178.6,72.4,34.1,44.2,90.7,83.6,x,x,x,x,x
Maia,12.3,0.67,45.5,147.3,76.7,30.1,45,91.4,116.8,x,x,x,x,x
Matosinhos,8.8,0.83,47.5,189.8,69.5,37.3,44.6,89.8,99.3,x,x,x,x,x
Oliveira de Azeméis,2.9,0.42,48.5,208.3,67.7,37.4,46.9,94.7,130.3,x,x,x,x,x
Paredes,5.1,0.32,44.3,126.5,83.6,24.9,41.5,94.1,178.4,x,x,x,x,x
Porto,27.3,2.66,47.1,219.6,85.1,41.9,50.7,86.5,112.9,x,x,x,x,x
Póvoa de Varzim,8.5,1.04,45.8,162.6,81.8,32.5,44.1,90.6,116.8,x,x,x,x,x
Santa Maria da Feira,4.2,0.25,47.1,175.5,69.9,33.5,45,93.9,113.7,x,x,x,x,x
Santo Tirso,12.2,0.19,49.5,235.8,66.5,40.3,45.2,91.2,104.8,x,x,x,x,x
São João da Madeira,14.3,1.08,47,187.3,72.5,34.8,46.2,90.1,111,x,x,x,x,x
Trofa,4.1,0.58,45.8,166.3,78.1,31.1,43.3,93.3,125.7,x,x,x,x,x
Vale de Cambra,15.1,0.54,51,273.3,63.8,48.2,48.7,94.1,96.6,x,x,x,x,x
Valongo,9.3,0.38,45.1,150.8,79.8,30.3,43.4,91.1,104.9,x,x,x,x,x
Vila do Conde,12.1,0.61,45.7,154.5,74.2,32.1,45.3,92.9,132.3,x,x,x,x,x
Vila Nova de Gaia,12,0.81,46.8,174.5,72.1,34.3,44.4,91.2,102.1,x,x,x,x,x
Alto Tâmega,16,0.29,56.6,398.2,49.1,65.5,51.7,92,86.4,29.8,34,35.7,80.3,20.05
Boticas,0,0.1,57.9,436.7,41.2,71.8,53,91,25,x,x,x,x,x
Chaves,22.4,0.45,54.4,339.3,52.7,58.8,50.8,91.1,64.7,x,x,x,x,x
Montalegre,0,0.17,59.9,545.6,44.5,77.8,54.3,94.8,220,x,x,x,x,x
Ribeira de Pena,15.8,0.19,54.2,324.1,52.4,56,50.1,98.5,1000,x,x,x,x,x
Valpaços,5,0.16,59.8,501.4,44.3,80.7,53.3,89.9,109.1,x,x,x,x,x
Vila Pouca de Aguiar,3.6,0.2,57.1,418.4,49.2,63.4,50.3,92.5,155.6,x,x,x,x,x
Tâmega e Sousa,6.2,0.26,46.1,160.8,78.2,29.7,44.1,94,181.9,30.1,30.7,31.9,80.83,19.37
Amarante,4.3,0.19,48.3,201,69.8,35.9,44.7,91.5,216.1,x,x,x,x,x
Baião,11.1,0.17,49.4,225.8,62.8,36.9,47.7,92,114.3,x,x,x,x,x
Castelo de Paiva,11.8,0.5,48.1,193.9,73.3,32.6,46,94.8,208,x,x,x,x,x
Celorico de Basto,2.3,0.16,48.9,217.1,70,39.1,49.8,93.2,133.3,x,x,x,x,x
Cinfães,2,0.38,50.1,235.3,65.4,42,49.5,95.7,294.1,x,x,x,x,x
Felgueiras,4.1,0.22,45.5,154.5,80.3,28.2,42.7,93.9,134,x,x,x,x,x
Lousada,4.1,0.41,43.4,118.8,88.4,23.4,40.9,94.1,438.9,x,x,x,x,x
Marco de Canaveses,5.9,0.33,45.9,154.1,81.6,28,43.1,93.3,175,x,x,x,x,x
Paços de Ferreira,5.2,0.22,44,129.4,86.1,24.6,41.4,98,126.4,x,x,x,x,x
Penafiel,9.9,0.17,45,142,80.8,27.6,42.5,93.3,106.8,x,x,x,x,x
Resende,10.8,0.18,50.5,240.6,62.4,41.8,49.8,96.1,80,x,x,x,x,x
Douro,7.9,0.33,52,285,59.4,48.9,49.7,91.5,109.6,30.4,32.4,33.7,80.66,19.97
Alijó,12.5,0.09,55.4,379.5,51.3,59.1,50.6,95.7,28.6,x,x,x,x,x
Armamar,0,0.18,53.6,323.7,56.9,50.6,54.5,89.2,233.3,x,x,x,x,x
Carrazeda de Ansiães,21.1,0.57,57.6,435.2,50.4,72.5,51.7,93.6,181.8,x,x,x,x,x
Freixo de Espada à Cinta,14.3,0.47,55.6,365.6,66.2,70.8,58.8,91.5,66.7,x,x,x,x,x
Lamego,3.5,0.15,51.5,264.7,56.8,43,47.9,91,60.9,x,x,x,x,x
Mesão Frio,25,0.2,51.6,309.2,64.6,46.5,46.2,90.2,133.3,x,x,x,x,x
Moimenta da Beira,3.7,0.42,51.9,263.3,62.9,51.3,52.2,91.6,90.5,x,x,x,x,x
Murça,0,0.29,56.8,447.1,53.2,64.4,51.9,93.4,275,x,x,x,x,x
Penedono,14.3,0.22,55.3,423.5,61.3,59.7,55.7,92,200,x,x,x,x,x
Peso da Régua,14,0.12,51.4,262.8,58.6,44.5,45.5,89.1,41.7,x,x,x,x,x
Sabrosa,12.5,0.11,54,364.5,61.6,58.8,49.9,92.7,200,x,x,x,x,x
Santa Marta de Penaguião,0,0.22,54.5,354.1,58.2,55.6,46.8,92.4,225,x,x,x,x,x
São João da Pesqueira,0,0.62,51.2,275.3,58.9,45.9,50.4,97.3,61.5,x,x,x,x,x
Sernancelhe,0,0.1,54.9,370.6,58.8,54.8,52.5,94.7,0,x,x,x,x,x
Tabuaço,21.1,0.26,54.9,368.5,57.8,56.5,48.6,90.4,550,x,x,x,x,x
Tarouca,0,0.08,49.4,215.8,63.7,40.3,47.2,94.5,0,x,x,x,x,x
Torre de Moncorvo,10.5,0.12,59.9,493.4,46.1,80.9,55.2,91.8,100,x,x,x,x,x
Vila Nova de Foz Côa,0,0.1,56.7,425.9,52.1,66.8,52.5,92.2,500,x,x,x,x,x
Vila Real,6.7,0.65,48.5,202.8,65.7,38.3,47.6,89.6,105.7,x,x,x,x,x
Terras de Trás-os-Montes,8.8,1.18,54.6,361.1,61.5,61,52.5,93.1,101.1,30.4,33.5,34.5,80.87,19.98
Alfândega da Fé,0,0.52,58.2,445.7,51.5,70.5,53.9,95.7,175,x,x,x,x,x
Bragança,15.4,2.66,49.7,262.9,79.8,47.3,50.4,92.4,92.9,x,x,x,x,x
Macedo de Cavaleiros,5.9,0.42,55.8,388.1,53.5,63.4,51.3,91.3,114.3,x,x,x,x,x
Miranda do Douro,18.2,0.33,58.5,473,52.9,76.8,56.4,93.8,162.5,x,x,x,x,x
Mirandela,2,0.79,53.4,325,63,57.7,51.6,90.2,101.2,x,x,x,x,x
Mogadouro,0,0.34,58.5,479.7,44.7,72.6,55.7,94.2,460,x,x,x,x,x
Vila Flor,6.3,0.33,55.7,397.6,57.8,65.4,50.9,95.6,81.8,x,x,x,x,x
