,"Publications, Total (N.º)","Publications, Newspapers (N.º)","Publications, Magazines (N.º)","Publications, Diffusion support type, Paper (N.º)","Publications, Diffusion support type, Electronic (N.º)","Publications, Diffusion support type, In both paper and electronic support  (N.º)","Printed editions, Diffusion support type, In both paper and electronic support  (N.º)","Total circulation, Total, In both paper and electronic support  (N.º)","Total circulation, Newspapers, In both paper and electronic support  (N.º)","Total circulation, Magazines, In both paper and electronic support  (N.º)","Sold circulation, Total, In both paper and electronic support  (N.º)","Sold circulation, of which, Newspapers (N.º)","Sold circulation, of which, Magazines (N.º)"
Portugal,840,393,447,384,110,346,17723,338881202,172222888,166658314,104691645.00000027,71079973.99999987,33611670.99999994
Continente,800,369,431,367,106,327,14916,328989035,162664743,166324292,98031757.00000033,64541124.99999985,33490632.00000003
Norte,220,123,97,98,34,88,4630,48970596,40764201,8206395,17684795.00000003,14891874.999999989,2792920.000000002
Alto Minho,15,14,1,12,1,2,295,532890,…,…,425032,…,…
Arcos de Valdevez,1,1,0,0,0,1,…,…,…,0,…,…,0
Caminha,1,1,0,0,1,0,0,…,…,0,…,…,0
Melgaço,0,0,0,0,0,0,0,0,0,0,0,0,0
Monção,1,1,0,1,0,0,…,…,…,0,…,…,0
Paredes de Coura,2,2,0,2,0,0,…,…,…,0,…,…,0
Ponte da Barca,1,1,0,1,0,0,…,…,…,0,…,…,0
Ponte de Lima,1,1,0,1,0,0,…,…,…,0,…,…,0
Valença,0,0,0,0,0,0,0,0,0,0,0,0,0
Viana do Castelo,7,6,1,6,0,1,136,212846,…,…,186260,…,…
Vila Nova de Cerveira,1,1,0,1,0,0,…,…,…,0,…,…,0
Cávado,28,13,15,18,3,7,947,5598726,4621404,977322,1802038.999999999,…,…
Amares,2,1,1,2,0,0,…,…,…,…,…,…,…
Barcelos,2,2,0,1,0,1,…,…,…,0,…,…,0
Braga,21,7,14,14,3,4,837,5091926,…,…,1578758.999999999,…,…
Esposende,2,2,0,1,0,1,…,…,…,0,…,…,0
Terras de Bouro,0,0,0,0,0,0,0,0,0,0,0,0,0
Vila Verde,1,1,0,0,0,1,…,…,…,0,…,…,0
Ave,20,16,4,7,5,8,369,14303439,12869707,1433732,309711.00000000186,292133.99999999814,17577
Cabeceiras de Basto,2,2,0,2,0,0,…,…,…,0,…,…,0
Fafe,2,2,0,2,0,0,…,…,…,0,…,…,0
Guimarães,8,5,3,1,2,5,138,4387715,…,…,116023.00000000093,…,…
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,0,0,0,0,0,0,0,0,0,0,0,0,0
Vieira do Minho,2,2,0,0,1,1,…,…,…,0,…,…,0
Vila Nova de Famalicão,5,4,1,1,2,2,64,9658636,…,…,4000,…,…
Vizela,1,1,0,1,0,0,…,…,…,0,…,…,0
A. M. Porto,115,43,72,43,12,60,2384,21666146,16088321,5577825,14308708,12094953,2213755.000000002
Arouca,2,2,0,0,0,2,…,…,…,0,…,…,0
Espinho,3,3,0,1,0,2,108,263237,263237,0,72873,72873,0
Gondomar,2,2,0,0,0,2,…,…,…,0,…,…,0
Maia,2,1,1,0,0,2,…,…,…,…,…,…,…
Matosinhos,6,1,5,1,0,5,34,769429,…,…,734393,…,…
Oliveira de Azeméis,4,1,3,4,0,0,…,…,…,…,…,…,…
Paredes,2,1,1,2,0,0,…,…,…,…,…,…,…
Porto,57,11,46,15,8,34,1552,16102221,11649021,4453200,12407186.000000011,11053039.999999998,1354146
Póvoa de Varzim,3,2,1,2,0,1,42,43500,…,…,23500,…,…
Santa Maria da Feira,8,3,5,4,2,2,87,291317,290628,689,277602,277100,502
Santo Tirso,7,6,1,4,2,1,67,1784613,…,…,79510,…,…
São João da Madeira,2,2,0,1,0,1,…,…,…,0,…,…,0
Trofa,1,1,0,0,0,1,…,…,…,0,…,…,0
Vale de Cambra,0,0,0,0,0,0,0,0,0,0,0,0,0
Valongo,2,2,0,1,0,1,…,…,…,0,…,…,0
Vila do Conde,6,4,2,4,0,2,116,272130,…,…,…,…,…
Vila Nova de Gaia,8,1,7,4,0,4,87,246987,…,…,115334,…,…
Alto Tâmega,3,3,0,2,0,1,45,29070,29070,0,25840,25840,0
