,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino recorrente (N.º)","Ensino básico, 1º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 1º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino básico, 2º Ciclo, Total, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino recorrente (N.º)","Ensino básico, 2º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 2º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)"
Vila Flor,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0
Centro,249,0,187,60,683,0,478,199
Oeste,8,0,3,5,65,0,46,19
Alcobaça,0,0,0,0,22,0,22,0
Alenquer,0,0,0,0,3,0,0,3
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,0,0,0,0,2,0,0,2
Cadaval,0,0,0,0,0,0,0,0
Caldas da Rainha,3,0,3,0,8,0,8,0
Lourinhã,0,0,0,0,0,0,0,0
Nazaré,0,0,0,0,7,0,0,7
Óbidos,0,0,0,0,0,0,0,0
Peniche,5,0,0,5,5,0,0,5
Sobral de Monte Agraço,0,0,0,0,0,0,0,0
Torres Vedras,0,0,0,0,18,0,16,2
Região de Aveiro,96,0,92,4,196,0,177,19
Águeda,22,0,21,1,40,0,39,1
Albergaria-a-Velha,0,0,0,0,0,0,0,0
Anadia,0,0,0,0,21,0,21,0
Aveiro,39,0,38,1,61,0,54,7
Estarreja,17,0,17,0,14,0,14,0
Ílhavo,0,0,0,0,19,0,19,0
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,0,0,0,0
Ovar,18,0,16,2,26,0,15,11
Sever do Vouga,0,0,0,0,0,0,0,0
Vagos,0,0,0,0,15,0,15,0
Região de Coimbra,33,0,3,30,100,0,43,57
Arganil,4,0,0,4,8,0,0,8
Cantanhede,0,0,0,0,1,0,0,1
Coimbra,25,0,3,22,78,0,43,35
Condeixa-a-Nova,0,0,0,0,0,0,0,0
Figueira da Foz,0,0,0,0,1,0,0,1
Góis,0,0,0,0,0,0,0,0
Lousã,0,0,0,0,0,0,0,0
Mealhada,0,0,0,0,0,0,0,0
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,0,0,0,0,0,0,0,0
Montemor-o-Velho,0,0,0,0,1,0,0,1
Mortágua,0,0,0,0,0,0,0,0
Oliveira do Hospital,2,0,0,2,7,0,0,7
Pampilhosa da Serra,0,0,0,0,0,0,0,0
Penacova,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0
Soure,2,0,0,2,4,0,0,4
Tábua,0,0,0,0,0,0,0,0
Vila Nova de Poiares,0,0,0,0,0,0,0,0
Região de Leiria,6,0,0,6,43,0,23,20
Alvaiázere,0,0,0,0,0,0,0,0
Ansião,0,0,0,0,3,0,3,0
Batalha,2,0,0,2,1,0,0,1
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,0,0,0,0
Leiria,0,0,0,0,20,0,15,5
Marinha Grande,0,0,0,0,6,0,0,6
Pedrógão Grande,0,0,0,0,0,0,0,0
Pombal,4,0,0,4,13,0,5,8
Porto de Mós,0,0,0,0,0,0,0,0
Viseu Dão Lafões,44,0,37,7,111,0,77,34
Aguiar da Beira,0,0,0,0,0,0,0,0
Carregal do Sal,0,0,0,0,0,0,0,0
Castro Daire,0,0,0,0,22,0,22,0
Mangualde,16,0,16,0,23,0,19,4
Nelas,0,0,0,0,0,0,0,0
Oliveira de Frades,0,0,0,0,0,0,0,0
Penalva do Castelo,0,0,0,0,0,0,0,0
Santa Comba Dão,0,0,0,0,0,0,0,0
São Pedro do Sul,0,0,0,0,0,0,0,0
Sátão,0,0,0,0,0,0,0,0
Tondela,0,0,0,0,2,0,0,2
Vila Nova de Paiva,0,0,0,0,0,0,0,0
Viseu,28,0,21,7,64,0,36,28
Vouzela,0,0,0,0,0,0,0,0
Beira Baixa,14,0,13,1,8,0,8,0
Castelo Branco,13,0,13,0,8,0,8,0
Idanha-a-Nova,1,0,0,1,0,0,0,0
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,0,0,0,0,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,22,0,20,2,75,0,52,23
Abrantes,0,0,0,0,2,0,0,2
Alcanena,0,0,0,0,1,0,0,1
Constância,0,0,0,0,0,0,0,0
Entroncamento,17,0,17,0,0,0,0,0
Ferreira do Zêzere,0,0,0,0,0,0,0,0
Mação,0,0,0,0,0,0,0,0
Ourém,0,0,0,0,16,0,0,16
Sardoal,0,0,0,0,0,0,0,0
Sertã,0,0,0,0,2,0,0,2
Tomar,5,0,3,2,54,0,52,2
Torres Novas,0,0,0,0,0,0,0,0
Vila de Rei,0,0,0,0,0,0,0,0
Vila Nova da Barquinha,0,0,0,0,0,0,0,0
Beiras e Serra da Estrela,26,0,19,5,85,0,52,27
Almeida,0,0,0,0,0,0,0,0
Belmonte,0,0,0,0,0,0,0,0
Celorico da Beira,0,0,0,0,0,0,0,0
Covilhã,11,0,8,1,34,0,11,20
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,0,0,0,0
Fundão,0,0,0,0,15,0,15,0
Gouveia,0,0,0,0,0,0,0,0
Guarda,12,0,11,1,35,0,26,6
Manteigas,0,0,0,0,0,0,0,0
Mêda,0,0,0,0,0,0,0,0
Pinhel,0,0,0,0,0,0,0,0
Sabugal,0,0,0,0,0,0,0,0
Seia,3,0,0,3,1,0,0,1
Trancoso,0,0,0,0,0,0,0,0
A. M. Lisboa,644,0,617,25,1027,0,938,81
Alcochete,0,0,0,0,0,0,0,0
Almada,26,0,26,0,47,0,47,0
Amadora,106,0,106,0,111,0,111,0
Barreiro,26,0,26,0,58,0,55,3
Cascais,52,0,52,0,46,0,42,4
Lisboa,70,0,53,15,220,0,195,19
Loures,137,0,137,0,131,0,130,1
Mafra,0,0,0,0,0,0,0,0
Moita,48,0,48,0,82,0,82,0
Montijo,1,0,0,1,19,0,12,7
Odivelas,28,0,28,0,25,0,22,3
Oeiras,1,0,0,1,7,0,2,5
Palmela,0,0,0,0,0,0,0,0
Seixal,25,0,17,8,106,0,73,33
Sesimbra,0,0,0,0,13,0,13,0
Setúbal,50,0,50,0,49,0,45,2
Sintra,51,0,51,0,101,0,101,0
Vila Franca de Xira,23,0,23,0,12,0,8,4
Alentejo,107,0,90,12,306,0,209,78
Alentejo Litoral,28,0,26,0,20,0,15,4
Alcácer do Sal,0,0,0,0,0,0,0,0
Grândola,12,0,10,0,14,0,13,0
Odemira,9,0,9,0,5,0,2,3
Santiago do Cacém,0,0,0,0,1,0,0,1
Sines,7,0,7,0,0,0,0,0
Baixo Alentejo,38,0,33,2,102,0,81,20
Aljustrel,4,0,0,2,20,0,0,20
Almodôvar,0,0,0,0,0,0,0,0
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,21,0,20,0,31,0,30,0
Castro Verde,0,0,0,0,10,0,10,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,0,0,0,0,0,0,0,0
Mértola,0,0,0,0,9,0,9,0
Moura,13,0,13,0,10,0,10,0
Ourique,0,0,0,0,0,0,0,0
Serpa,0,0,0,0,22,0,22,0
Vidigueira,0,0,0,0,0,0,0,0
Lezíria do Tejo,23,0,17,6,120,0,88,16
Almeirim,0,0,0,0,0,0,0,0
Alpiarça,0,0,0,0,0,0,0,0
Azambuja,1,0,0,1,22,0,8,0
Benavente,0,0,0,0,0,0,0,0
Cartaxo,0,0,0,0,0,0,0,0
Chamusca,0,0,0,0,0,0,0,0
Coruche,0,0,0,0,0,0,0,0
Golegã,0,0,0,0,0,0,0,0
Rio Maior,22,0,17,5,40,0,35,3
Salvaterra de Magos,0,0,0,0,21,0,16,5
Santarém,0,0,0,0,37,0,29,8
Alto Alentejo,7,0,6,1,23,0,11,12
Alter do Chão,0,0,0,0,0,0,0,0
Arronches,0,0,0,0,0,0,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,1,0,0,1,9,0,0,9
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,6,0,6,0,12,0,11,1
Fronteira,0,0,0,0,0,0,0,0
Gavião,0,0,0,0,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,0,0,0,0,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0
Portalegre,0,0,0,0,2,0,0,2
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,11,0,8,3,41,0,14,26
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,0,0,0,0,0,0,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,0,0,0,0,0,0,0,0
Évora,11,0,8,3,30,0,11,19
Montemor-o-Novo,0,0,0,0,6,0,3,2
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,0,0,0,0,0,0,0,0
Redondo,0,0,0,0,0,0,0,0
Reguengos de Monsaraz,0,0,0,0,4,0,0,4
Vendas Novas,0,0,0,0,0,0,0,0
Viana do Alentejo,0,0,0,0,0,0,0,0
Vila Viçosa,0,0,0,0,1,0,0,1
Algarve,69,0,68,1,57,0,42,15
Albufeira,1,0,0,1,0,0,0,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,57,0,57,0,43,0,42,1
Lagoa,0,0,0,0,0,0,0,0
Lagos,0,0,0,0,0,0,0,0
Loulé,0,0,0,0,0,0,0,0
Monchique,0,0,0,0,0,0,0,0
Olhão,0,0,0,0,2,0,0,2
Portimão,11,0,11,0,3,0,0,3
São Brás de Alportel,0,0,0,0,0,0,0,0
Silves,0,0,0,0,0,0,0,0
Tavira,0,0,0,0,0,0,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,0,0,0,0,9,0,0,9
R. A. Açores,33,0,15,18,107,0,25,82
Santa Maria,0,0,0,0,10,0,0,10
Vila do Porto,0,0,0,0,10,0,0,10
São Miguel,12,0,0,12,61,0,13,48
Lagoa (R.A.A.),4,0,0,4,4,0,0,4
Nordeste,0,0,0,0,0,0,0,0
Ponta Delgada,8,0,0,8,34,0,13,21
Povoação,0,0,0,0,0,0,0,0
Ribeira Grande,0,0,0,0,22,0,0,22
Vila Franca do Campo,0,0,0,0,1,0,0,1
Terceira,21,0,15,6,35,0,12,23
Angra do Heroísmo,21,0,15,6,35,0,12,23
Vila da Praia da Vitória,0,0,0,0,0,0,0,0
Graciosa,0,0,0,0,0,0,0,0
Santa Cruz da Graciosa,0,0,0,0,0,0,0,0
São Jorge,0,0,0,0,0,0,0,0
Calheta (R.A.A.),0,0,0,0,0,0,0,0
Velas,0,0,0,0,0,0,0,0
Pico,0,0,0,0,0,0,0,0
Lajes do Pico,0,0,0,0,0,0,0,0
Madalena,0,0,0,0,0,0,0,0
São Roque do Pico,0,0,0,0,0,0,0,0
Faial,0,0,0,0,0,0,0,0
Horta,0,0,0,0,0,0,0,0
Flores,0,0,0,0,1,0,0,1
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,0,0,0,0,1,0,0,1
Corvo,0,0,0,0,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
R. A. Madeira,670,670,0,0,102,0,78,0
Calheta (R.A.M.),136,136,0,0,0,0,0,0
Câmara de Lobos,171,171,0,0,7,0,7,0
Funchal,58,58,0,0,53,0,29,0
Machico,45,45,0,0,24,0,24,0
Ponta do Sol,173,173,0,0,0,0,0,0
Porto Moniz,0,0,0,0,0,0,0,0
Ribeira Brava,29,29,0,0,0,0,0,0
Santa Cruz,0,0,0,0,18,0,18,0
Santana,43,43,0,0,0,0,0,0
São Vicente,0,0,0,0,0,0,0,0
Porto Santo,15,15,0,0,0,0,0,0
