,"2018, Total, Hospitals (N.º)","2018, Public and Public-private partnerships, Hospitals (N.º)","2018, Private, Hospitals (N.º)","2018 Po, Total, Beds (N.º)","2018 Po, General hospital, Beds (N.º)","2018 Po, Specialized hospital, Beds (N.º)","2018 Po, Surgery rooms, Beds (N.º)","2018 Po, Hospitalisations , In-patient flow  (N.º)","2018 Po, Days of hospitalisation , In-patient flow  (N.º)"
Portugal,230,111,119,35429,27107,8322,891,1155056,10300565
Continente,213,105,108,32103,25564,6539,859,1099135,9307151
Norte,74,33,41,11445,9079,2366,322,407909,3291906
Alto Minho,3,2,1,...,...,...,...,...,...
Arcos de Valdevez,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0
Ponte de Lima,1,1,0,52,52,0,0,1760,18631
Valença,0,0,0,0,0,0,0,0,0
Viana do Castelo,2,1,1,...,...,...,...,...,...
Vila Nova de Cerveira,0,0,0,0,0,0,0,0,0
Cávado,14,2,12,2016,1055,961,37,47694,640534
Amares,1,0,1,...,...,...,...,...,...
Barcelos,4,1,3,703,127,576,4,6974,237074
Braga,6,1,5,1175,790,385,25,38232,385441
Esposende,2,0,2,...,...,...,...,...,...
Terras de Bouro,0,0,0,0,0,0,0,0,0
Vila Verde,1,0,1,...,...,...,...,...,...
Ave,4,2,2,...,...,...,...,...,...
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0,0
Guimarães,1,1,0,410,410,0,10,23041,173560
Mondim de Basto,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,1,0,1,...,...,...,...,...,...
Vieira do Minho,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,2,1,1,...,...,...,...,...,...
Vizela,0,0,0,0,0,0,0,0,0
A. M. Porto,41,19,22,6465,5060,1405,209,236632,1755389
Arouca,1,0,1,...,...,...,...,...,...
Espinho,2,1,1,...,...,...,...,...,...
Gondomar,0,0,0,0,0,0,0,0,0
Maia,0,0,0,0,0,0,0,0,0
Matosinhos,3,2,1,...,...,...,...,...,...
Oliveira de Azeméis,1,1,0,42,42,0,0,216,8502
Paredes,1,0,1,...,...,...,...,...,...
Porto,18,7,11,3802,2512,1290,121,136882,1125833
Póvoa de Varzim,3,1,2,...,...,...,...,...,...
Santa Maria da Feira,1,1,0,318,318,0,10,18615,110783
Santo Tirso,1,1,0,0,0,0,0,0,0
São João da Madeira,1,1,0,11,11,0,3,93,1106
Trofa,1,0,1,...,...,...,...,...,...
Vale de Cambra,0,0,0,0,0,0,0,0,0
Valongo,2,1,1,...,...,...,...,...,...
Vila do Conde,1,1,0,52,52,0,1,2123,18527
Vila Nova de Gaia,5,2,3,1021,928,93,31,40561,264825
Alto Tâmega,1,1,0,153,153,0,3,6143,43058
